"No","DOI","Status","PdfUrl","File"
"1","10.1002/9780470277867.ch11","no_oa","",""
"2","10.1002/aqc.4065","download_failed","https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/aqc.4065",""
"3","10.1007/978-3-031-20740-2_18","downloaded","https://link.springer.com/content/pdf/10.1007/978-3-031-20740-2_18.pdf","F:\deepseek harness\pdfs\10.1007_978-3-031-20740-2_18.pdf"
"4","10.1007/978-3-031-32671-4_105-1","no_oa","",""
"5","10.1007/978-3-319-51159-7_9","downloaded","https://link.springer.com/content/pdf/10.1007%2F978-3-319-51159-7_9.pdf","F:\deepseek harness\pdfs\10.1007_978-3-319-51159-7_9.pdf"
"6","10.1007/BF00027645","no_oa","",""
"7","10.1007/s10152-008-0115-x","downloaded","https://link.springer.com/content/pdf/10.1007/s10152-008-0115-x.pdf","F:\deepseek harness\pdfs\10.1007_s10152-008-0115-x.pdf"
"8","10.1007/s10499-016-9987-y","downloaded","https://link.springer.com/content/pdf/10.1007%2Fs10499-016-9987-y.pdf","F:\deepseek harness\pdfs\10.1007_s10499-016-9987-y.pdf"
"9","10.1007/s10499-023-01270-w","downloaded","https://link.springer.com/content/pdf/10.1007/s10499-023-01270-w.pdf","F:\deepseek harness\pdfs\10.1007_s10499-023-01270-w.pdf"
"10","10.1007/s10811-017-1144-0","no_oa","",""
"11","10.1007/s10811-019-02020-3","downloaded","https://link.springer.com/content/pdf/10.1007/s10811-019-02020-3.pdf","F:\deepseek harness\pdfs\10.1007_s10811-019-02020-3.pdf"
"12","10.1007/s10811-024-03291-1","no_oa","",""
"13","10.1007/s10811-026-03885-x","downloaded","https://link.springer.com/content/pdf/10.1007/s10811-026-03885-x.pdf","F:\deepseek harness\pdfs\10.1007_s10811-026-03885-x.pdf"
"14","10.1007/s10811-026-03928-3","downloaded","https://link.springer.com/content/pdf/10.1007/s10811-026-03928-3.pdf","F:\deepseek harness\pdfs\10.1007_s10811-026-03928-3.pdf"
"15","10.1007/s12562-025-01956-5","downloaded","https://link.springer.com/content/pdf/10.1007/s12562-025-01956-5.pdf","F:\deepseek harness\pdfs\10.1007_s12562-025-01956-5.pdf"
"16","10.1007/s13762-026-07285-z","downloaded","https://link.springer.com/content/pdf/10.1007/s13762-026-07285-z.pdf","F:\deepseek harness\pdfs\10.1007_s13762-026-07285-z.pdf"
"17","10.1007/s40152-023-00294-5","no_oa","",""
"18","10.1007/s40152-023-00324-2","downloaded","https://link.springer.com/content/pdf/10.1007/s40152-023-00324-2.pdf","F:\deepseek harness\pdfs\10.1007_s40152-023-00324-2.pdf"
"19","10.1007/s40152-023-00348-8","downloaded","https://link.springer.com/content/pdf/10.1007/s40152-023-00348-8.pdf","F:\deepseek harness\pdfs\10.1007_s40152-023-00348-8.pdf"
"20","10.1007/s40152-024-00392-y","downloaded","https://link.springer.com/content/pdf/10.1007/s40152-024-00392-y.pdf","F:\deepseek harness\pdfs\10.1007_s40152-024-00392-y.pdf"
"21","10.1007/s44312-024-00014-5","downloaded","https://link.springer.com/content/pdf/10.1007/s44312-024-00014-5.pdf","F:\deepseek harness\pdfs\10.1007_s44312-024-00014-5.pdf"
"22","10.1016/j.aquaculture.2015.02.009","no_oa","",""
"23","10.1016/j.aquaculture.2015.03.005","small_or_error","https://figshare.com/articles/journal_contribution/The_implications_of_aquaculture_policy_and_regulation_for_the_development_of_integrated_multi-trophic_aquaculture_in_Europe/22938416",""
"24","10.1016/j.aquaculture.2021.737812","download_failed","https://www.sciencedirect.com/science/article/pii/S0044848621014757/pdf",""
"25","10.1016/j.aquaculture.2022.738066","download_failed","https://www.sciencedirect.com/science/article/pii/S004484862200182X/pdf",""
"26","10.1016/j.aquaculture.2023.739474","no_oa","",""
"27","10.1016/j.aquaculture.2024.740230","api_error","",""
"28","10.1016/j.aquaculture.2024.741085","no_oa","",""
"29","10.1016/j.aquaculture.2024.741164","small_or_error","https://doi.org/10.1016/j.aquaculture.2024.741164",""
"30","10.1016/j.ecss.2019.04.018","no_oa","",""
"31","10.1016/j.foodcont.2019.04.010","no_oa","",""
"32","10.1016/j.geoforum.2004.11.007","no_oa","",""
"33","10.1016/j.hal.2025.102997","no_oa","",""
"34","10.1016/j.jenvman.2022.114623","download_failed","https://www.sciencedirect.com/science/article/pii/S0301479722001967/pdf",""
"35","10.1016/j.marpol.2013.06.002","download_failed","https://hull-repository.worktribe.com/output/373991",""
"36","10.1016/j.marpol.2014.04.003","no_oa","",""
"37","10.1016/j.marpol.2015.01.012","no_oa","",""
"38","10.1016/j.marpol.2015.09.004","no_oa","",""
"39","10.1016/j.marpol.2015.09.005","no_oa","",""
"40","10.1016/j.marpol.2017.08.007","downloaded","https://edepot.wur.nl/426238","F:\deepseek harness\pdfs\10.1016_j.marpol.2017.08.007.pdf"
"41","10.1016/j.marpol.2018.05.007","no_oa","",""
"42","10.1016/j.marpol.2018.10.049","download_failed","https://www.sciencedirect.com/science/article/pii/S0308597X18304603/pdf",""
"43","10.1016/j.marpol.2019.04.002","download_failed","https://www.sciencedirect.com/science/article/pii/S0308597X18308820/pdf",""
"44","10.1016/j.marpol.2019.103800","download_failed","https://www.sciencedirect.com/science/article/pii/S0308597X19305184/pdf",""
"45","10.1016/j.marpol.2020.103892","no_oa","",""
"46","10.1016/j.marpol.2020.103941","no_oa","",""
"47","10.1016/j.marpol.2020.104062","no_oa","",""
"48","10.1016/j.marpol.2020.104255","no_oa","",""
"49","10.1016/j.marpol.2021.104902","no_oa","",""
"50","10.1016/j.marpol.2022.105101","download_failed","https://www.sciencedirect.com/science/article/pii/S0308597X22001488/pdf",""
"51","10.1016/j.marpol.2022.105312","no_oa","",""
"52","10.1016/j.ocecoaman.2016.05.004","download_failed","https://www.sciencedirect.com/science/article/am/pii/S0964569116300941?via%3Dihub",""
"53","10.1016/j.ocecoaman.2020.105157","no_oa","",""
"54","10.1016/j.ocecoaman.2020.105293","no_oa","",""
"55","10.1038/s41467-024-49568-2","api_error","",""
"56","10.1038/s41559-017-0257-9","no_oa","",""
"57","10.1038/s41559-018-0669-1","no_oa","",""
"58","10.1038/s41586-021-03308-6","downloaded","https://research.wur.nl/en/publications/a-20-year-retrospective-review-of-global-aquaculture","F:\deepseek harness\pdfs\10.1038_s41586-021-03308-6.pdf"
"59","10.1038/s41586-022-04674-5","downloaded","http://hdl.handle.net/11093/3907","F:\deepseek harness\pdfs\10.1038_s41586-022-04674-5.pdf"
